t,x,y,z,vx,vy,vz,earth_x,earth_y,earth_z,moon_x,moon_y,moon_z,sx,sy,sz
7141455.308102305,-150067386546.58865,-9936554303.4709663,-4238411802.942944,2394.1493643742965,-27988.336236659899,-12329.894820933225,-149823336567.62982,-9580932224.9210701,-4121850631.155509,-150070506584.31247,-9877069429.0768318,-4214247450.8718567,1.1091074412333031,0.10747550740524292,-0.0031375511815830309
7148252.5488048755,-150050952472.78592,-10126727078.715027,-4322194813.5512934,2441.307158247012,-27967.552632242659,-12322.144580727154,-149813007801.897,-9767006028.6406136,-4202522255.6129608,-150055092426.21561,-10067113745.260044,-4296837591.1488037,1.1102102099795192,0.10835091193309167,-0.0056265606257096881
7155049.7895074459,-150034199001.55051,-10316758865.983444,-4405924626.4335871,2488.1296210018877,-27946.852129793308,-12314.243428545693,-149802404947.30136,-9953063748.012146,-4283186776.7501149,-150039333026.02664,-10257052064.397001,-4379392381.9691544,1.1113374320523497,0.10910779635626221,-0.0081060579040595215
7161847.0302100154,-150017128378.21298,-10506650225.362041,-4489600242.6594496,2534.6266560206063,-27926.233287956758,-12306.199170742884,-149791528021.48206,-10139105052.199402,-4363844052.1768064,-150023230080.50952,-10446883093.816692,-4461911177.9911079,1.1124876476711327,0.10974767550302356,-0.010573781150320609
7168644.2709125858,-149999742782.77087,-10696401706.475042,-4573220714.4657516,2580.8075898837733,-27905.694478098671,-12298.019063305277,-149780377042.4545,-10325129610.097975,-4444493939.4168072,-150006785297.60544,-10636605569.125801,-4544393343.678833,1.1136593606189658,0.11027209115664233,-0.013027594606731771
7175441.5116151562,-149982044333.67706,-10886013847.370071,-4656785141.6565456,2626.6812110372994,-27885.233929469479,-12289.709852919123,-149768952028.61627,-10511137090.337116,-4525136295.9080172,-149990000395.93991,-10826218254.102993,-4626838253.3035889,1.1148510437597579,0.11068260811369737,-0.01546548108069701
7182238.7523177257,-149964035091.37094,-11075487173.683809,-4740292668.2736969,2672.2558067678942,-27864.849766737472,-12281.27781551294,-149757252998.75281,-10697127161.281816,-4605770979.0028048,-149972877104.34274,-11015719940.587841,-4709245290.9418192,1.1160611441533559,0.11098081089522076,-0.01788553477376309
7189035.9930202961,-149945717061.56461,-11264822198.039913,-4823742479.5208588,2717.5391982490669,-27844.540040965639,-12272.728792261143,-149745279972.04288,-10883099491.034939,-4686397845.9683695,-149955417161.37985,-11205109448.364704,-4791613850.470355,1.1172880877891846,0.11116830101852064,-0.02028595448626264
7195833.2337228665,-149927092198.29794,-11454019419.637695,-4907133798.9235353,2762.5387735149152,-27824.302754983259,-12264.06822308673,-149733032968.06396,-11069053747.439205,-4767016753.9870501,-149937622314.89752,-11394385625.041851,-4873943335.558816,1.1185302839556723,0.11124669475473038,-0.022665037194614393
7202630.4744254369,-149908162406.7767,-11643079323.996887,-4990465885.7086964,2807.2615182922873,-27804.135883988496,-12255.301177739102,-149720512006.79767,-11254989598.07946,-4847627560.1567688,-149919494321.57883,-11583547345.926853,-4956233159.6596317,1.1197861292673483,0.1112176213021164,-0.025021171994444178
